port_year_concat,port_code,port_name,port_state,port_lat,port_lng,year_reported,fatalities,missing,casualties,survivors,female_casualties,male_casualties,child_casualties,pedestrian_x,passenger_x_bus,passenger_x_train,passenger_x_personal_vehicle,passenger_x_any,pedestrian_and_passenger_x,personal_vehicles,buses,trains,trucks,rail_containers_full,rail_containers_empty,truck_containers_full,truck_containers_empty
2603|2014,2603,Naco,Arizona,31.335280000000004,-109.9475,2014,,,,,,,,79325,451,0,525988,526439,605764,298368,12,0,3601,0,0,3496,3112
2603|2015,2603,Naco,Arizona,31.335280000000004,-109.9475,2015,,,,,,,,75267,140,0,514875,515015,590282,297174,3,0,2988,0,0,3041,1952
2603|2016,2603,Naco,Arizona,31.335280000000004,-109.9475,2016,,,,,,,,76834,156,0,510291,510447,587281,302391,5,0,3287,0,0,1625,1878
2603|2017,2603,Naco,Arizona,31.335280000000004,-109.9475,2017,3,0,3,,,3,,113384,504,,526296,526800,640184,295427,16,,3424,,,1999,2432
2603|2018,2603,Naco,Arizona,31.335280000000004,-109.9475,2018,6,0,6,,1,4,,152162,675,,565907,566582,718744,310106,22,,2997,,,1433,1562
2604|2014,2604,Nogales,Arizona,31.34028,-110.93361000000002,2014,1,0,1,0,,1,,2886022,168768,3180,6798080,6970028,9856050,3286532,9423,795,312010,42802,32963,256074,58334
2604|2015,2604,Nogales,Arizona,31.34028,-110.93361000000002,2015,1,0,1,,,1,,3131978,173425,3204,7190065,7366694,10498672,3470471,9694,801,319747,44778,34537,256895,64922
2604|2016,2604,Nogales,Arizona,31.34028,-110.93361000000002,2016,4,0,4,,,4,,3420708,186719,2970,7060684,7250373,10671081,3477415,10077,742,335737,40042,31212,271015,66659
2604|2017,2604,Nogales,Arizona,31.34028,-110.93361000000002,2017,2,0,2,,,2,,3349123,191750,2600,7630386,7824736,11173859,3806449,12891,649,333941,32014,30819,353773,62755
2604|2018,2604,Nogales,Arizona,31.34028,-110.93361000000002,2018,8,0,8,,,7,1,3422816,194827,2887,7153600,7351314,10774130,3603601,9569,737,337179,28788,40520,284896,60317
2606|2014,2606,Sasabe,Arizona,31.488609999999998,-111.54138999999999,2014,89,0,89,0,1,29,1,1369,0,0,31157,31157,32526,17551,0,0,0,0,0,239,256
2606|2015,2606,Sasabe,Arizona,31.488609999999998,-111.54138999999999,2015,139,0,139,,9,105,,767,0,0,35667,35667,36434,20098,0,0,0,0,0,428,276
2606|2016,2606,Sasabe,Arizona,31.488609999999998,-111.54138999999999,2016,2,0,2,,,1,,983,0,11,41108,41119,42102,22438,0,0,0,0,0,527,274
2606|2017,2606,Sasabe,Arizona,31.488609999999998,-111.54138999999999,2017,32,0,32,,,32,,549,,,45378,45378,45927,23858,,,,,,66,54
2606|2018,2606,Sasabe,Arizona,31.488609999999998,-111.54138999999999,2018,61,0,61,3,7,34,,524,,,47119,47119,47643,24533,,,,,,,
2608|2014,2608,San Luis,Arizona,32.486940000000004,-114.78139000000002,2014,,,,,,,,2287955,36,0,5536747,5536783,7824738,3028042,36,0,31968,0,0,17176,12463
2608|2015,2608,San Luis,Arizona,32.486940000000004,-114.78139000000002,2015,,,,,,,,2351506,70,0,5575238,5575308,7926814,3106744,70,0,33712,0,0,19797,13245
2608|2016,2608,San Luis,Arizona,32.486940000000004,-114.78139000000002,2016,3,0,3,2,,3,,2583851,259,0,5462649,5462908,8046759,3062196,117,0,31338,0,0,18742,12015
2608|2017,2608,San Luis,Arizona,32.486940000000004,-114.78139000000002,2017,,,,,,,,2645119,228,,5752538,5752766,8397885,3212702,228,,31940,,,27026,11084
2608|2018,2608,San Luis,Arizona,32.486940000000004,-114.78139000000002,2018,1,0,1,1,,1,,2640907,169,,5854901,5855070,8495977,3257990,169,,28211,,,19885,8635
